The C Programming Language;0131103628;9780131103627;Brian W. Kernighan, Dennis M. Ritchie;Prentice Hall;language, programming;272;1988-04-01;Paperback;67.00 USD
C Programming Absolute Beginner's Guide (3rd Edition);0789751984;9780789751980;Greg Perry, Dean Miller;Que Publishing;guide, beginner, absolute, programming;352;2013-08-17;Paperback;29.99 USD
 
